30 06 2017, 0.00, 15.27
01 07 2017, 0.00, 15.72
02 07 2017, 0.00, 19.46
03 07 2017, 0.00, 9.68
04 07 2017, 0.00, 10.04
05 07 2017, 0.00, 16.10
06 07 2017, 0.00, 15.91
07 07 2017, 0.00, 28.93
08 07 2017, 0.00, 36.92
09 07 2017, 0.00, 11.86
10 07 2017, 0.00, 24.67
11 07 2017, 0.00, 14.05
12 07 2017, 0.00, 16.16
13 07 2017, 171.67, 27.91
14 07 2017, 0.00, 27.44
15 07 2017, 0.00, 26.58
16 07 2017, 0.00, 11.14
17 07 2017, 0.00, 8.92
18 07 2017, 0.00, 6.42
19 07 2017, 0.00, 7.16
20 07 2017, 0.00, 8.27
21 07 2017, 0.00, 13.96
22 07 2017, 0.00, 10.87
23 07 2017, 0.00, 11.84
24 07 2017, 0.00, 31.12
25 07 2017, 0.00, 13.52
26 07 2017, 0.00, 34.70
27 07 2017, 0.00, 33.17
28 07 2017, 0.00, 17.21
29 07 2017, 0.00, 22.07
30 07 2017, 0.00, 28.69
31 07 2017, 0.00, 25.85
01 08 2017, 0.00, 26.37
02 08 2017, 0.00, 18.03
03 08 2017, 0.00, 10.34
04 08 2017, 0.00, 9.60
05 08 2017, 0.00, 8.97
06 08 2017, 0.00, 10.45
07 08 2017, 0.00, 22.09
08 08 2017, 93.71, 28.53
09 08 2017, 0.00, 13.65
13 08 2017, 0.00, 14.11
14 08 2017, 0.00, 13.39
15 08 2017, 0.00, 13.31
16 08 2017, 0.00, 19.92
17 08 2017, 0.00, 6.17
18 08 2017, 0.00, 19.77
19 08 2017, 0.00, 19.04
20 08 2017, 0.00, 7.88
21 08 2017, 0.00, 6.75
22 08 2017, 0.00, 10.09
23 08 2017, 0.00, 7.90
24 08 2017, 0.00, 28.73
26 08 2017, 0.00, 28.73
27 08 2017, 0.00, 21.24
28 08 2017, 0.00, 24.82
29 08 2017, 560.07, 39.06
30 08 2017, 1.33, 18.29
31 08 2017, 0.00, 8.50
01 09 2017, 0.00, 13.77
02 09 2017, 0.00, 30.02
03 09 2017, 0.00, 41.13
04 09 2017, 0.01, 38.36
05 09 2017, 0.00, 12.57
06 09 2017, 0.00, 9.92
07 09 2017, 0.00, 15.25
08 09 2017, 2.28, 14.85
09 09 2017, 0.00, 36.15
10 09 2017, 0.00, 32.11
11 09 2017, 185.45, 27.38
12 09 2017, 0.00, 10.18
13 09 2017, 0.00, 9.57
15 09 2017, 0.00, 18.53
16 09 2017, 0.00, 13.93
17 09 2017, 2.51, 12.24
18 09 2017, 0.00, 12.43
19 09 2017, 0.00, 9.39
20 09 2017, 0.00, 17.05
21 09 2017, 0.00, 36.68
22 09 2017, 0.00, 21.79
23 09 2017, 0.00, 11.26
24 09 2017, 0.00, 13.07
25 09 2017, 0.00, 15.52
26 09 2017, 0.00, 22.22
27 09 2017, 0.00, 32.44
28 09 2017, 0.68, 11.31
29 09 2017, 0.00, 19.68
30 09 2017, 0.00, 27.40
01 10 2017, 702.65, 28.29
02 10 2017, 15.32, 22.77
04 10 2017, 0.00, 18.74
05 10 2017, 72.45, 16.96
06 10 2017, 0.00, 11.46
07 10 2017, 0.00, 9.46
08 10 2017, 0.00, 12.22
09 10 2017, 0.00, 31.56
10 10 2017, 0.00, 13.30
12 10 2017, 0.00, 16.26
13 10 2017, 0.09, 24.31
14 10 2017, 0.00, 13.23
15 10 2017, 0.00, 14.24
16 10 2017, 0.00, 13.98
17 10 2017, 0.00, 30.66
18 10 2017, 124.96, 25.65
20 10 2017, 0.00, 9.30
21 10 2017, 2.70, 22.26
22 10 2017, 7.87, 18.78
23 10 2017, 0.00, 7.67
24 10 2017, 0.00, 14.39
25 10 2017, 0.00, 14.86
26 10 2017, 11.97, 21.95
27 10 2017, 0.00, 20.08
28 10 2017, 4.64, 18.49
29 10 2017, 0.00, 17.94
30 10 2017, 1178.10, 36.66
31 10 2017, 0.00, 10.18
01 11 2017, 0.00, 20.89
02 11 2017, 0.74, 25.26
03 11 2017, 193.62, 30.76
04 11 2017, 0.00, 16.22
05 11 2017, 2.02, 16.44
06 11 2017, 0.00, 23.45
07 11 2017, 31.69, 27.66
08 11 2017, 189.74, 30.13
09 11 2017, 257.74, 20.62
10 11 2017, 0.00, 13.99
11 11 2017, 5.48, 17.04
12 11 2017, 0.00, 11.99
13 11 2017, 0.00, 14.28
14 11 2017, 0.00, 30.81
15 11 2017, 0.00, 17.92
16 11 2017, 2.66, 28.38
17 11 2017, 0.00, 14.70
18 11 2017, 0.00, 12.35
19 11 2017, 0.00, 9.38
20 11 2017, 0.00, 12.72
21 11 2017, 0.00, 22.93
22 11 2017, 51.60, 18.41
23 11 2017, 513.80, 25.53
24 11 2017, 0.00, 16.17
25 11 2017, 0.00, 12.95
26 11 2017, 0.00, 13.46
27 11 2017, 0.00, 21.90
28 11 2017, 0.00, 10.54
29 11 2017, 0.00, 15.19
30 11 2017, 0.00, 20.41
01 12 2017, 0.00, 22.79
02 12 2017, 0.00, 27.45
03 12 2017, 37.93, 30.32
04 12 2017, 61.32, 34.66
05 12 2017, 0.00, 20.81
06 12 2017, 0.00, 25.35
07 12 2017, 512.87, 34.64
08 12 2017, 201.55, 19.81
09 12 2017, 885.79, 30.40
10 12 2017, 0.00, 14.34
11 12 2017, 0.00, 11.64
12 12 2017, 0.00, 8.33
13 12 2017, 0.00, 15.10
14 12 2017, 0.00, 33.81
15 12 2017, 0.00, 20.21
16 12 2017, 0.00, 26.10
17 12 2017, 368.74, 51.51
18 12 2017, 0.00, 13.32
19 12 2017, 0.00, 21.85
20 12 2017, 0.00, 29.06
21 12 2017, 25.06, 28.31
23 12 2017, 2783.53, 39.22
24 12 2017, 0.00, 15.76
25 12 2017, 0.00, 17.08
26 12 2017, 259.97, 27.06
27 12 2017, 430.20, 36.71
28 12 2017, 0.00, 25.23
29 12 2017, 8.83, 28.62
30 12 2017, 0.00, 26.63
31 12 2017, 0.00, 44.52
