 12Z 12 Mar 2017  0.00   8.56
 00Z 13 Mar 2017  0.00   12.63
 12Z 13 Mar 2017  0.00   13.92
 12Z 14 Mar 2017  0.00   18.83
 00Z 15 Mar 2017  0.00   17.60
 12Z 15 Mar 2017  0.00   25.70
 12Z 16 Mar 2017  0.00   16.65
 12Z 17 Mar 2017  0.00   14.69
 00Z 18 Mar 2017  0.00   18.86
 12Z 18 Mar 2017  0.00   17.56
 00Z 19 Mar 2017  0.00   17.24
 12Z 19 Mar 2017  0.00   15.03
 00Z 20 Mar 2017  0.00   17.41
 12Z 20 Mar 2017  0.00   18.37
 00Z 21 Mar 2017  0.00   19.51
 00Z 22 Mar 2017  182.26   32.05
 12Z 22 Mar 2017  814.34   33.39
 00Z 23 Mar 2017  671.89   38.74
 12Z 23 Mar 2017  487.09   36.06
 00Z 24 Mar 2017  1462.89   39.36
 12Z 24 Mar 2017  356.10   36.22
 00Z 25 Mar 2017  230.33   33.86
 12Z 25 Mar 2017  535.12   33.87
 00Z 26 Mar 2017  396.80   31.76
 12Z 26 Mar 2017  48.36   30.61
 00Z 27 Mar 2017  613.86   34.79
 00Z 28 Mar 2017  115.19   33.14
 12Z 28 Mar 2017  10.36   31.58
 00Z 29 Mar 2017  0.00   28.35
 12Z 29 Mar 2017  8.19   28.12
 00Z 30 Mar 2017  15.51   28.77
 12Z 30 Mar 2017  0.27   39.99
 00Z 31 Mar 2017  232.49   40.13
 12Z 31 Mar 2017  0.00   37.82
 00Z 01 Apr 2017  0.00   36.10
 12Z 01 Apr 2017  0.00   26.82
 00Z 02 Apr 2017  0.00   26.24
 12Z 02 Apr 2017  0.00   24.15
 00Z 03 Apr 2017  0.00   41.10
 12Z 03 Apr 2017  0.00   19.49
 00Z 04 Apr 2017  0.00   14.99
 12Z 04 Apr 2017  0.00   18.26
 00Z 05 Apr 2017  457.94   32.42
 00Z 06 Apr 2017  0.00   13.11
 12Z 06 Apr 2017  0.00   20.67
 00Z 07 Apr 2017  0.00   17.39
 12Z 07 Apr 2017  0.00   14.76
 00Z 08 Apr 2017  41.62   31.32
 12Z 08 Apr 2017  260.81   32.95
 00Z 09 Apr 2017  534.00   48.53
 12Z 09 Apr 2017  188.98   49.88
 00Z 10 Apr 2017  586.00   54.85
 00Z 11 Apr 2017  0.00   32.80
 12Z 11 Apr 2017  0.00   19.32
 00Z 12 Apr 2017  0.13   15.44
 12Z 12 Apr 2017  0.00   8.37
 00Z 13 Apr 2017  0.00   17.42
 12Z 13 Apr 2017  0.00   19.68
 00Z 14 Apr 2017  0.00   16.78
 12Z 14 Apr 2017  0.00   19.96
 00Z 15 Apr 2017  0.00   20.61
 12Z 15 Apr 2017  0.00   22.74
 00Z 16 Apr 2017  0.18   24.85
 12Z 16 Apr 2017  0.00   20.81
 00Z 17 Apr 2017  24.57   21.13
 12Z 17 Apr 2017  0.00   19.50
 00Z 18 Apr 2017  15.02   18.10
 12Z 18 Apr 2017  6.36   17.37
 00Z 19 Apr 2017  1.76   21.86
 12Z 19 Apr 2017  0.00   38.64
 00Z 20 Apr 2017  0.00   42.52
 12Z 20 Apr 2017  0.00   31.70
 00Z 21 Apr 2017  0.00   21.69
 12Z 21 Apr 2017  0.00   18.26
 00Z 22 Apr 2017  0.00   11.62
 12Z 22 Apr 2017  0.00   9.74
 00Z 23 Apr 2017  0.00   14.54
 12Z 23 Apr 2017  0.00   15.73
 00Z 24 Apr 2017  0.00   22.07
 12Z 24 Apr 2017  0.00   21.07
 00Z 25 Apr 2017  0.00   18.85
 12Z 25 Apr 2017  82.92   22.89
 00Z 26 Apr 2017  0.47   30.23
 12Z 26 Apr 2017  0.00   11.47
 00Z 27 Apr 2017  0.00   11.27
 12Z 27 Apr 2017  0.00   9.64
 00Z 28 Apr 2017  0.00   14.10
 12Z 28 Apr 2017  0.00   16.94
 00Z 29 Apr 2017  0.00   16.23
 12Z 29 Apr 2017  0.00   16.41
 00Z 30 Apr 2017  0.00   10.71
 12Z 30 Apr 2017  0.00   10.53
 00Z 01 May 2017  0.00   7.42
 12Z 01 May 2017  0.00   8.32
 00Z 02 May 2017  0.00   11.02
 12Z 02 May 2017  0.00   13.43
 00Z 03 May 2017  0.00   17.23
 12Z 03 May 2017  0.00   29.26
 00Z 04 May 2017  6.14   23.88
 12Z 04 May 2017  0.00   23.15
 00Z 05 May 2017  98.24   18.85
 12Z 05 May 2017  0.00   20.88
 00Z 06 May 2017  1.02   23.33
 12Z 06 May 2017  0.00   15.51
 00Z 07 May 2017  0.00   18.79
 12Z 07 May 2017  8.41   31.61
 00Z 08 May 2017  384.79   43.27
 12Z 08 May 2017  273.13   39.83
 00Z 09 May 2017  0.00   18.81
 12Z 09 May 2017  0.00   11.26
 00Z 10 May 2017  0.00   15.19
 12Z 10 May 2017  0.00   14.64
 00Z 11 May 2017  0.00   10.69
 12Z 12 May 2017  0.00   32.23
 00Z 13 May 2017  2.07   30.26
 12Z 13 May 2017  0.00   24.18
 00Z 14 May 2017  0.37   22.92
 12Z 14 May 2017  0.00   17.94
 00Z 15 May 2017  7.96   18.04
 12Z 15 May 2017  6.38   20.84
 00Z 16 May 2017  0.00   15.54
 12Z 16 May 2017  0.00   11.09
 00Z 17 May 2017  0.00   10.82
 12Z 17 May 2017  0.00   14.17
 00Z 18 May 2017  0.00   16.71
 12Z 18 May 2017  0.00   26.63
 00Z 20 May 2017  1.09   16.51
 12Z 20 May 2017  0.00   20.17
 00Z 21 May 2017  0.50   20.55
 00Z 22 May 2017  0.00   20.54
 12Z 22 May 2017  0.00   19.89
 12Z 23 May 2017  0.00   18.66
 00Z 24 May 2017  0.00   19.50
 12Z 24 May 2017  0.00   32.12
 00Z 25 May 2017  0.00   30.02
 12Z 25 May 2017  0.00   40.36
 00Z 26 May 2017  0.00   19.34
 12Z 26 May 2017  0.94   14.19
 00Z 27 May 2017  0.00   8.69
 12Z 27 May 2017  0.00   10.45
 00Z 28 May 2017  0.27   12.53
 12Z 28 May 2017  2.43   16.35
 00Z 29 May 2017  0.00   15.24
 12Z 29 May 2017  0.00   14.16
 12Z 30 May 2017  0.00   11.76
 00Z 31 May 2017  0.00   12.09
 12Z 31 May 2017  0.00   7.86
 00Z 01 Jun 2017  0.00   11.76
 12Z 01 Jun 2017  0.00   13.08
 00Z 02 Jun 2017  0.00   12.29
 12Z 02 Jun 2017  0.00   10.16
 00Z 03 Jun 2017  0.00   12.69
 12Z 03 Jun 2017  3.29   20.03
 00Z 04 Jun 2017  0.00   18.25
 12Z 04 Jun 2017  0.00   8.19
 00Z 05 Jun 2017  0.00   9.14
 12Z 05 Jun 2017  0.00   8.60
 00Z 06 Jun 2017  0.00   8.26
 12Z 06 Jun 2017  0.00   7.44
 00Z 07 Jun 2017  0.00   7.78
 12Z 07 Jun 2017  0.00   9.86
 00Z 08 Jun 2017  0.00   11.34
 12Z 08 Jun 2017  0.00   16.46
 00Z 09 Jun 2017  5.02   18.60
 12Z 09 Jun 2017  0.00   11.22
 00Z 10 Jun 2017  0.00   19.28
 12Z 10 Jun 2017  0.00   14.61
 00Z 11 Jun 2017  0.00   13.64
 12Z 11 Jun 2017  0.00   17.88
 00Z 12 Jun 2017  0.00   3.99
 12Z 12 Jun 2017  0.00   3.79
 00Z 13 Jun 2017  0.00   7.83
 12Z 13 Jun 2017  0.00   15.79
 00Z 14 Jun 2017  0.00   15.74
 12Z 14 Jun 2017  0.00   15.54
 00Z 15 Jun 2017  0.00   10.90
 12Z 15 Jun 2017  0.00   21.28
 00Z 16 Jun 2017  0.00   33.91
 12Z 16 Jun 2017  0.10   40.83
 00Z 17 Jun 2017  585.22   35.33
