01 01 2017,  622.65, 40.67
02 01 2017,  0.00, 17.83
03 01 2017,  1675.90, 53.48
04 01 2017,  770.89, 28.03
05 01 2017,  0.00, 12.85
07 01 2017,  497.99, 38.03
08 01 2017,  310.44, 32.62
09 01 2017,  972.10, 31.04
10 01 2017,  0.00, 12.08
11 01 2017,  0.00, 19.21
12 01 2017,  10.08, 25.28
13 01 2017,  1489.93, 52.52
15 01 2017,  178.42, 30.52
16 01 2017,  174.69, 47.67
17 01 2017,  446.85, 31.43
18 01 2017,  0.00, 16.65
19 01 2017,  60.11, 32.62
20 01 2017,  46.25, 43.36
21 01 2017,  397.69, 29.82
22 01 2017,  1118.60, 32.82
23 01 2017,  933.09, 38.99
24 01 2017,  248.71, 29.88
25 01 2017,  1.05, 22.41
26 01 2017,  0.00, 16.18
27 01 2017,  0.00, 17.46
28 01 2017,  0.00, 16.29
29 01 2017,  0.00, 16.64
30 01 2017,  427.79, 22.88
31 01 2017,  363.14, 46.63
01 02 2017,  0.00, 46.36
02 02 2017,  0.00, 23.42
03 02 2017,  5.93, 21.61
04 02 2017,  246.87, 29.73
05 02 2017,  1.11, 28.22
06 02 2017,  0.00, 17.12
07 02 2017,  0.00, 16.22
08 02 2017,  0.00, 23.46
09 02 2017,  21.81, 32.27
10 02 2017,  674.35, 40.10
11 02 2017,  0.00, 26.71
12 02 2017,  127.35, 48.66
13 02 2017,  0.00, 49.67
14 02 2017,  10.58, 51.53
15 02 2017,  63.43, 37.38
16 02 2017,  315.25, 32.93
17 02 2017,  1479.64, 38.27
18 02 2017,  0.00, 36.21
19 02 2017,  51.01, 22.12
20 02 2017,  966.24, 25.01
21 02 2017,  1833.99, 42.84
23 02 2017,  2234.93, 48.55
24 02 2017,  1135.71, 29.35
25 02 2017,  349.00, 29.73
26 02 2017,  1495.92, 42.47
27 02 2017,  413.75, 42.78
01 03 2017,  1482.38, 40.50
02 03 2017,  1418.49, 39.82
03 03 2017,  0.00, 26.22
04 03 2017,  0.99, 29.18
05 03 2017,  0.11, 21.96
06 03 2017,  22.21, 23.60
08 03 2017,  20.39, 27.02
09 03 2017,  0.00, 38.17
10 03 2017,  0.00, 8.76
11 03 2017,  0.00, 23.30
12 03 2017,  0.00, 8.56
13 03 2017,  0.00, 13.92
14 03 2017,  0.00, 18.83
15 03 2017,  0.00, 25.70
16 03 2017,  0.00, 16.65
17 03 2017,  0.00, 14.69
18 03 2017,  0.00, 17.56
19 03 2017,  0.00, 15.03
20 03 2017,  0.00, 18.37
22 03 2017,  814.34, 33.39
23 03 2017,  487.09, 36.06
24 03 2017,  356.10, 36.22
25 03 2017,  535.12, 33.87
26 03 2017,  48.36, 30.61
28 03 2017,  10.36, 31.58
29 03 2017,  8.19, 28.12
30 03 2017,  0.27, 39.99
31 03 2017,  0.00, 37.82
01 04 2017,  0.00, 26.82
02 04 2017,  0.00, 24.15
03 04 2017,  0.00, 19.49
04 04 2017,  0.00, 18.26
06 04 2017,  0.00, 20.67
07 04 2017,  0.00, 14.76
08 04 2017,  260.81, 32.95
09 04 2017,  188.98, 49.88
11 04 2017,  0.00, 19.32
12 04 2017,  0.00, 8.37
13 04 2017,  0.00, 19.68
14 04 2017,  0.00, 19.96
15 04 2017,  0.00, 22.74
16 04 2017,  0.00, 20.81
17 04 2017,  0.00, 19.50
18 04 2017,  6.36, 17.37
19 04 2017,  0.00, 38.64
20 04 2017,  0.00, 31.70
21 04 2017,  0.00, 18.26
22 04 2017,  0.00, 9.74
23 04 2017,  0.00, 15.73
24 04 2017,  0.00, 21.07
25 04 2017,  82.92, 22.89
26 04 2017,  0.00, 11.47
27 04 2017,  0.00, 9.64
28 04 2017,  0.00, 16.94
29 04 2017,  0.00, 16.41
30 04 2017,  0.00, 10.53
01 05 2017,  0.00, 8.32
02 05 2017,  0.00, 13.43
03 05 2017,  0.00, 29.26
04 05 2017,  0.00, 23.15
05 05 2017,  0.00, 20.88
06 05 2017,  0.00, 15.51
07 05 2017,  8.41, 31.61
08 05 2017,  273.13, 39.83
09 05 2017,  0.00, 11.26
10 05 2017,  0.00, 14.64
12 05 2017,  0.00, 32.23
13 05 2017,  0.00, 24.18
14 05 2017,  0.00, 17.94
15 05 2017,  6.38, 20.84
16 05 2017,  0.00, 11.09
17 05 2017,  0.00, 14.17
18 05 2017,  0.00, 26.63
20 05 2017,  0.00, 20.17
22 05 2017,  0.00, 19.89
23 05 2017,  0.00, 18.66
24 05 2017,  0.00, 32.12
25 05 2017,  0.00, 40.36
26 05 2017,  0.94, 14.19
27 05 2017,  0.00, 10.45
28 05 2017,  2.43, 16.35
29 05 2017,  0.00, 14.16
30 05 2017,  0.00, 11.76
31 05 2017,  0.00, 7.86
01 06 2017,  0.00, 13.08
02 06 2017,  0.00, 10.16
03 06 2017,  3.29, 20.03
04 06 2017,  0.00, 8.19
05 06 2017,  0.00, 8.60
06 06 2017,  0.00, 7.44
07 06 2017,  0.00, 9.86
08 06 2017,  0.00, 16.46
09 06 2017,  0.00, 11.22
10 06 2017,  0.00, 14.61
11 06 2017,  0.00, 17.88
12 06 2017,  0.00, 3.79
13 06 2017,  0.00, 15.79
14 06 2017,  0.00, 15.54
15 06 2017,  0.00, 21.28
16 06 2017,  0.10, 40.83
18 06 2017,  0.00, 7.22
19 06 2017,  0.00, 8.05
21 06 2017,  0.00, 12.19
22 06 2017,  0.00, 26.48
23 06 2017,  2.00, 35.62
24 06 2017,  0.00, 35.05
25 06 2017,  7.22, 32.71
26 06 2017,  0.00, 26.88
27 06 2017,  0.00, 37.69
28 06 2017,  0.00, 18.69
29 06 2017,  0.00, 13.36
30 06 2017,  0.00, 16.74
01 07 2017,  0.00, 18.45
02 07 2017,  0.00, 14.10
04 07 2017,  0.00, 9.56
06 07 2017,  0.00, 20.32
07 07 2017,  0.00, 27.96
08 07 2017,  0.09, 27.86
09 07 2017,  0.00, 27.64
10 07 2017,  0.00, 24.77
11 07 2017,  0.00, 6.43
12 07 2017,  0.00, 33.89
13 07 2017,  0.00, 26.54
14 07 2017,  0.00, 24.19
15 07 2017,  0.00, 26.04
16 07 2017,  3.22, 10.87
17 07 2017,  0.00, 2.70
18 07 2017,  0.00, 6.99
19 07 2017,  0.00, 6.37
20 07 2017,  0.00, 10.32
21 07 2017,  0.00, 12.66
24 07 2017,  0.00, 25.52
25 07 2017,  0.00, 12.66
26 07 2017,  0.00, 29.78
27 07 2017,  2.74, 31.44
28 07 2017,  0.00, 17.50
