 12Z 20 May 2017  0.00   20.17
 12Z 22 May 2017  0.00   19.89
 12Z 23 May 2017  0.00   18.66
 12Z 24 May 2017  0.00   32.12
 12Z 25 May 2017  0.00   40.36
 12Z 26 May 2017  0.94   14.19
 12Z 27 May 2017  0.00   10.45
 12Z 28 May 2017  2.43   16.35
 12Z 29 May 2017  0.00   14.16
 12Z 30 May 2017  0.00   11.76
 12Z 31 May 2017  0.00   7.86
 12Z 01 Jun 2017  0.00   13.08
 12Z 02 Jun 2017  0.00   10.16
 12Z 03 Jun 2017  3.29   20.03
 12Z 04 Jun 2017  0.00   8.19
 12Z 05 Jun 2017  0.00   8.60
 12Z 06 Jun 2017  0.00   7.44
 12Z 07 Jun 2017  0.00   9.86
 12Z 08 Jun 2017  0.00   16.46
 12Z 09 Jun 2017  0.00   11.22
 12Z 10 Jun 2017  0.00   14.61
 12Z 11 Jun 2017  0.00   17.88
 12Z 12 Jun 2017  0.00   3.79
 12Z 13 Jun 2017  0.00   15.79
 12Z 14 Jun 2017  0.00   15.54
 12Z 15 Jun 2017  0.00   21.28
 12Z 16 Jun 2017  0.10   40.83
 12Z 18 Jun 2017  0.00   7.22
 12Z 19 Jun 2017  0.00   8.05
 12Z 21 Jun 2017  0.00   12.19
 12Z 22 Jun 2017  0.00   26.48
 12Z 23 Jun 2017  2.00   35.62
 12Z 24 Jun 2017  0.00   35.05
 12Z 25 Jun 2017  7.22   32.71
 12Z 26 Jun 2017  0.00   26.88
 12Z 27 Jun 2017  0.00   37.69
 12Z 28 Jun 2017  0.00   18.69
 12Z 29 Jun 2017  0.00   13.36
 12Z 30 Jun 2017  0.00   16.74
 12Z 01 Jul 2017  0.00   18.45
 12Z 02 Jul 2017  0.00   14.10
 12Z 04 Jul 2017  0.00   9.56
 12Z 06 Jul 2017  0.00   20.32
 12Z 07 Jul 2017  0.00   27.96
 12Z 08 Jul 2017  0.09   27.86
 12Z 09 Jul 2017  0.00   27.64
 12Z 10 Jul 2017  0.00   24.77
 12Z 11 Jul 2017  0.00   6.43
 12Z 12 Jul 2017  0.00   33.89
 12Z 13 Jul 2017  0.00   26.54
 12Z 14 Jul 2017  0.00   24.19
 12Z 15 Jul 2017  0.00   26.04
 12Z 16 Jul 2017  3.22   10.87
 12Z 17 Jul 2017  0.00   2.70
 12Z 18 Jul 2017  0.00   6.99
 12Z 19 Jul 2017  0.00   6.37
 12Z 20 Jul 2017  0.00   10.32
 12Z 21 Jul 2017  0.00   12.66
 12Z 24 Jul 2017  0.00   25.52
 12Z 25 Jul 2017  0.00   12.66
 12Z 26 Jul 2017  0.00   29.78
 12Z 27 Jul 2017  2.74   31.44
 12Z 28 Jul 2017  0.00   17.50
 12Z 29 Jul 2017  0.00   25.35
 12Z 30 Jul 2017  0.00   30.66
 12Z 31 Jul 2017  0.00   26.56
 12Z 01 Aug 2017  0.00   20.00
 12Z 02 Aug 2017  0.00   12.43
 12Z 04 Aug 2017  0.00   8.51
 12Z 05 Aug 2017  0.00   7.21
 12Z 06 Aug 2017  0.00   20.86
 12Z 07 Aug 2017  28.44   24.63
 12Z 08 Aug 2017  0.00   17.74
 12Z 09 Aug 2017  0.00   16.68
 12Z 10 Aug 2017  0.07   19.08
 12Z 11 Aug 2017  0.00   35.39
 12Z 12 Aug 2017  0.00   32.47
 12Z 13 Aug 2017  0.00   6.76
 12Z 14 Aug 2017  0.00   8.58
 12Z 15 Aug 2017  0.00   15.31
 12Z 16 Aug 2017  0.00   6.96
 12Z 17 Aug 2017  0.00   13.22
 12Z 18 Aug 2017  0.00   10.63
 12Z 19 Aug 2017  0.00   23.37
 12Z 20 Aug 2017  0.00   6.43
 12Z 21 Aug 2017  0.00   6.46
 12Z 22 Aug 2017  0.00   6.36
 12Z 23 Aug 2017  0.00   18.45
 12Z 24 Aug 2017  4.53   42.12
 12Z 25 Aug 2017  1.11   45.45
 12Z 26 Aug 2017  0.00   25.03
 12Z 27 Aug 2017  0.00   21.51
 12Z 28 Aug 2017  27.11   32.40
 12Z 30 Aug 2017  0.00   11.09
 12Z 31 Aug 2017  0.00   7.33
 12Z 01 Sep 2017  0.00   28.43
 12Z 02 Sep 2017  477.04   43.28
 12Z 04 Sep 2017  0.00   18.59
 12Z 05 Sep 2017  0.00   6.56
 12Z 11 Sep 2017  0.15   25.16
 12Z 14 Sep 2017  0.00   17.65
 12Z 15 Sep 2017  0.19   12.01
 12Z 18 Sep 2017  0.00   11.80
 12Z 19 Sep 2017  0.00   8.83
 12Z 20 Sep 2017  0.00   35.90
 12Z 21 Sep 2017  0.00   32.27
 12Z 22 Sep 2017  0.00   10.23
 12Z 25 Sep 2017  0.00   23.37
 12Z 26 Sep 2017  0.00   23.54
 12Z 27 Sep 2017  0.00   15.80
 12Z 28 Sep 2017  6.27   15.47
